zipcode,violation_code,log_income,avg_initial_fine_zipcode,avg_initial_fine_zipcode_viol,zipcode_count,zipcode_viol_count
60002,0912060,11.265125,68.471809,90,2022,9
60002,0940060,11.265125,68.471809,125,2022,2
60002,0940170,11.265125,68.471809,25,2022,1
60002,0964020A,11.265125,68.471809,25,2022,3
60002,0964020B,11.265125,68.471809,75,2022,10
60002,0964030B,11.265125,68.471809,50,2022,2
60002,0964040B,11.265125,68.471809,50.909092,2022,220
60002,0964041B,11.265125,68.471809,60,2022,2
60002,0964050J,11.265125,68.471809,214.70589,2022,17
60002,0964060,11.265125,68.471809,52.105263,2022,19
60002,0964060B,11.265125,68.471809,60,2022,1
60002,0964070,11.265125,68.471809,60,2022,1
60002,0964080A,11.265125,68.471809,66.203209,2022,187
60002,0964080B,11.265125,68.471809,68.717949,2022,78
60002,0964090E,11.265125,68.471809,61.075951,2022,158
60002,0964091,11.265125,68.471809,50,2022,1
60002,0964100A,11.265125,68.471809,110.9375,2022,64
60002,0964100B,11.265125,68.471809,150,2022,1
60002,0964100C,11.265125,68.471809,140,2022,15
60002,0964100D,11.265125,68.471809,75,2022,3
60002,0964100E,11.265125,68.471809,100,2022,1
60002,0964100G,11.265125,68.471809,52.222221,2022,9
60002,0964110A,11.265125,68.471809,100,2022,21
60002,0964110C,11.265125,68.471809,57.727272,2022,22
60002,0964110D,11.265125,68.471809,55,2022,8
60002,0964110E,11.265125,68.471809,55,2022,2
60002,0964110G,11.265125,68.471809,75,2022,1
60002,0964110H,11.265125,68.471809,100,2022,1
60002,0964120B,11.265125,68.471809,50,2022,1
60002,0964125,11.265125,68.471809,120,2022,41
60002,0964125B,11.265125,68.471809,200,2022,34
60002,0964130,11.265125,68.471809,150,2022,25
60002,0964130A,11.265125,68.471809,150,2022,9
60002,0964140B,11.265125,68.471809,97.555557,2022,45
60002,0964150B,11.265125,68.471809,63.76506,2022,166
60002,0964160B,11.265125,68.471809,59.677418,2022,31
60002,0964170A,11.265125,68.471809,25,2022,4
60002,0964180A,11.265125,68.471809,60,2022,1
60002,0964190,11.265125,68.471809,50,2022,84
60002,0964190A,11.265125,68.471809,36.153847,2022,13
